name,lng,lat,address
好好奶茶,103.877226,30.710814,成都市温江区天乡路一段惠民东苑-东区
茶小恋奶茶,104.153619,30.634977,成都市成华区嘉陵江路爱馨公寓(成都火车东站店)
一杯鲜奶茶,104.121716,30.686716,四川省成都市成华区桃林街36号
朋友圈奶茶,104.698147,30.598153,成都市简阳市Y142简阳农商银行寨子分理处北侧约210米
板栗奶茶,104.116548,30.680786,四川省成都市成华区建设北路三段6号龙湖天街三千集b1
娟娟奶茶,103.422395,30.339634,成都市邛崃市宇龙街卧龙中心幼儿园西南侧约250米
心怡奶茶,103.952308,30.773638,四川省成都市郫都区学府南路66号
菲凌奶茶,104.216608,30.743261,成都市新都区文化西街七彩童年幼儿园(长林街三巷)东侧约120米
莉雪奶茶店,104.402968,30.753418,成都市青白江区云石路雲顶大酒店东南侧约210米
忘忧奶茶店,104.559068,30.410118,成都市简阳市尽春意大道简阳中学(河东校区)东北侧约30米
怡馨奶茶,104.297284,30.689643,四川省成都市龙泉驿区育才街54号
美味奶茶,103.813569,30.431144,成都市新津区兴园五路欧郡东北侧约30米
爱乐奶茶,104.606811,30.694295,四川省成都市金堂县规划三路66号
沫沏奶茶店,103.756874,30.984755,四川省成都市都江堰市金堰路288-300号
鹿生奶茶,103.933594,30.674848,光华大道二段601号附96
BLUE奶茶店,104.058876,30.769324,四川省成都市新都区新街85号
小施妹奶茶店,104.818334,30.348885,成都市简阳市八角庙北街施家镇中心幼儿园西侧约220米
嘿糖糖奶茶,104.339109,30.642928,成都市龙泉驿区花市坝18号
壹壹奶茶,104.289733,30.778931,四川省成都市青白江区裕康街83号
遇见奶茶屋,104.266617,30.658432,永丰家园旁边永丰小学197号
茶遇奶茶,103.5647,30.231052,蒲江县天华政府街天华幼儿园西北侧约130米
一杯奶茶,104.46892,30.189819,四川省成都市简阳市顺河街与望水林场专用公路交叉口东南520米
桃桃奶茶,104.786911,30.693705,成都市金堂县桂龙街转龙乡初中西侧约240米
小曼虎奶茶店,103.995108,30.613539,成都市武侯区金履三路中海锦城·悦林湾
诗悦奶茶,103.813225,30.431869,四川省成都市新津区兴园五路c区166号附113号
优可奶茶,104.426031,30.928159,成都市金堂县三益桥街官仓白马中心幼儿园东北侧约30米
奶茶言,103.881771,30.832195,成都市郫都区蜀贤路三段中铁·奥维尔-一期北侧约90米
九月雪奶茶店,104.15353,30.813475,四川省成都市新都区新都街道工业大道西段67号1栋附202号
小院奶茶,103.262711,30.562116,四川省成都市大邑县武城街70号
茶韵奶茶,104.699147,30.6686,成都市金堂县金乐路喜洋洋幼儿园(黄桷桠分园)东北侧约180米
悠悠奶茶屋,104.647766,30.43544,成都市简阳市柴市下街四川农信简阳农商银行(平武分理处)东侧约130米
烧烤奶茶,103.973008,30.81703,成都市郫都区蜀源大道永定村八组-100号院
恬茶奶茶店,103.75704,30.40082,四川省成都市新津区安西街103号附1号
茶简奶茶,103.76302,30.862576,成都市郫都区郫花路花园农贸市场
时一奶茶,104.064102,30.51875,四川省成都市双流区富民路一段263号
